!E(eV)          F(ergcm-2s-1)   delta e(-)      delta e(+)      delta F(-)      delta F(+)   
2.2674335594	7.46E-11	0	0	1.86E-12	1.86E-12
2.8229323041	7.42E-11	0	0	1.50E-12	1.50E-12
3.5781589828	6.95E-11	0	0	1.59E-12	1.59E-12
4.768590241	5.90E-11	0	0	1.23E-12	1.23E-12
5.5201651252	5.73E-11	0	0	1.35E-12	1.35E-12
6.4306737177	4.49E-11	0	0	9.07E-13	9.07E-13
759.9940478467	1.69E-12	0	0	3.32E-13	3.32E-13
829.9934933466	2.34E-12	0	0	4.21E-13	4.21E-13
889.9930265785	2.16E-12	0	0	3.83E-13	3.83E-13
969.9924439538	1.27E-12	0	0	2.20E-13	2.20E-13
1059.9916543947	1.54E-12	0	0	2.79E-13	2.79E-13
1139.99107177	1.85E-12	0	0	2.99E-13	2.99E-13
1204.9906207412	1.75E-12	0	0	3.70E-13	3.70E-13
1279.989962774	1.57E-12	0	0	2.52E-13	2.52E-13
1374.9892485533	1.80E-12	0	0	2.93E-13	2.93E-13
1494.9883150171	1.18E-12	0	0	1.93E-13	1.93E-13
1664.9869428292	1.10E-12	0	0	1.85E-13	1.85E-13
1914.9849880249	1.04E-12	0	0	1.74E-13	1.74E-13
2314.9819556948	1.21E-12	0	0	1.94E-13	1.94E-13
3059.9760159268	9.55E-13	0	0	1.57E-13	1.57E-13
4519.964638008	1.04E-12	0	0	1.62E-13	1.62E-13
131528435.920218 2.04E-11	0	0	1.69E-12	1.69E-12
227813933.653953 2.51E-11	0	0	1.38E-12	1.38E-12
405459528.246966 2.89E-11	0	0	1.20E-12	1.20E-12
740264432.587497 3.30E-11	0	0	1.27E-12	1.27E-12
1315284359.20218 3.29E-11	0	0	1.47E-12	1.47E-12
2278139336.53953 3.70E-11	0	0	1.85E-12	1.85E-12
4054595282.46966 3.86E-11	0	0	2.31E-12	2.31E-12
7402644325.87497 3.44E-11	0	0	2.88E-12	2.88E-12
13152843592.0218 3.45E-11	0	0	3.99E-12	3.99E-12
22781393365.3953 3.13E-11	0	0	4.92E-12	4.92E-12
40545952824.6966 1.26E-11	0	0	4.05E-12	4.05E-12
74026443258.7497 2.13E-11	0	0	6.81E-12	6.81E-12
173203726426.122 5.21E-12	0	0	3.73E-12	3.73E-12
133498956132.564 1.62E-11	0	0	5.37E-12	5.37E-12
149798828678.809 1.04E-11	0	0	4.31E-12	4.31E-12
177398612868.048 3.69E-12	0	0	2.12E-12	2.12E-12
222498260220.941 5.57E-12	0	0	1.81E-12	1.81E-12
279997810614.74	3.22E-12	0	0	1.24E-12	1.24E-12

