!Freq (Hz)		    E (eV)		      nuFnu (erg cm-2 s-1)	-dnuFnu (erg cm-2 s-1)	  +dnuFnu (erg cm-2 s-1)   Observatoire
24.161966616364076        9.7785555187114959       -11.643955011312769       -11.780551703310545       -11.540197538798193      Fermi2FGL      
14.385427514805130        2.0164171525509813E-003  -10.739499302260912       -10.772187825686300       -10.709099889817720      2MASS          
14.256477206241676      -0.12693389141090278       -10.776919602168846       -10.810998437232486       -10.745321436641330      2MASS          
14.143014800254095      -0.24039629739848442       -10.815961921373111       -10.837366900333009       -10.795562555562006      2MASS          
25.841202996130733        11.457791898478153       -11.677615291254597       -12.043735497301725       -11.460522427194899      HESS           
25.982691752162832        11.599280654510254       -11.838033383635926       -12.048385670273490       -11.684443165413708      HESS           
26.150940553965476        11.767529456312898       -12.117043090443154       -12.341158987010914       -11.952947205396827      HESS     
26.318209467171382        11.934798369518800       -12.376771390784127       -12.675388346671079       -12.178067445348498      HESS           
26.485011214578574        12.101600116925994       -13.121288672873682       -13.914031922953926       -12.680971016574043      HESS           
26.651355559660683        12.267944462008105       -12.847130945782988       -13.256482396091744       -12.584575887923465      HESS           
26.816791278964118        12.433380181311538       -13.043759513365098       -13.514832439121987       -12.740102841998434      HESS      
