!E(eV)			F(erg.cm-2.s-1)		delta E-	delta E+	Delta F- 		Delta F-+		UL	Observatoire
316.2446564566		9.3163E-012		0		0		1.09889999999987E-013	1.0988999999999E-013	no	TWOXMMIDR3
707.2696345027		5.96700000000001E-012	0		0		1.28220000000009E-013	1.28219999999995E-013	no	TWOXMMIDR3
707.2696345027		6.8898E-012		0		0		6.51860000000034E-014	6.51859999999929E-014	no	TWOXMMIDR3
1414.5392690054		5.1804E-012		0		0		1.31930000000002E-013	1.39299999999997E-013	no	TWOXMMIDR3
1414.5392690054		5.9839E-012		0		0		6.6578000000004E-014	6.65780000000064E-014	no	TWOXMMIDR3
3000.3122389956		3.1803E-012		0		0		1.80660000000008E-013	1.80659999999993E-013	no	TWOXMMIDR3
3000.3122389956		3.3825E-012		0		0		5.96080000000021E-014	5.96079999999964E-014	no	TWOXMMIDR3
7349.8136872004		3.0369E-012		0		0		4.07909999999995E-013	4.07910000000002E-013	no	TWOXMMIDR3
7349.8136872004		3.6768E-012		0		0		1.44679999999994E-013	1.44680000000003E-013	no	TWOXMMIDR3
3000.3122389956		4.4563E-012		0		0		1.97000000000006E-013	1.96999999999994E-013	no	TWOXMMIDR3
3000.3122389956		4.6703E-012		0		0		9.51829999999989E-014	9.51830000000078E-014	no	TWOXMMIDR3
7349.8136872004		4.1742E-012		0		0		3.72679999999996E-013	3.72679999999994E-013	no	TWOXMMIDR3
7349.8136872004		4.22030000000001E-012	0		0		1.79210000000003E-013	1.79209999999987E-013	no	TWOXMMIDR3
4901.2544847116		6.79940000000001E-012	0		0		1.62590000000001E-012	1.6259E-012		no	XMMSL1D5
632.4065913185		3.4805E-012		0		0		5.31200000000003E-013	5.31220000000005E-013	no	XMMSL1D5
632.4065913185		2.3128E-012		0		0		5.77610000000003E-013	5.77609999999996E-013	no	XMMSL1D5
1549.3754683316		3.0067E-012		0		0		8.32059999999997E-013	8.62059999999993E-013	no	XMMSL1D5
1549.3754683316		2.545E-012		0		0		6.10679999999993E-013	6.10679999999999E-013	no	XMMSL1D5
200186259.122397	3.4279E-012		0		0		0			0			no	Fermi1FGL
2001862591.22397	2.2738E-012		0		0		0			0			no	Fermi1FGL
600558777.367193	3.4042E-012		0		0		0			0			no	Fermi1FGL
60055877736.7193	5.04589999999999E-012	0		0		0			0			no	Fermi1FGL
6005587773.67193	1.9858E-012		0		0		8.51009999999997E-013	8.51010000000003E-013	no	Fermi1FGL
200186259.122397	4.4405E-012		0		0		0			0			no	Fermi2FGL
2001862591.22397	2.2595E-012		0		0		4.44349999999996E-013	4.44350000000005E-013	no	Fermi2FGL
600558777.367193	2.5178E-012		0		0		5.1854E-013		5.18539999999995E-013	no	Fermi2FGL
60055877736.7193	2.4352E-012		0		0		9.10850000000004E-013	9.10849999999999E-013	no	Fermi2FGL
6005587773.67193	2.2701E-012		0		0		6.12620000000005E-013	6.12619999999999E-013	no	Fermi2FGL
1.0046537674		1.8218E-011		0		0		1.32090000000003E-012	1.32090000000003E-012	no	2MASS
0.746562392		1.6714E-011		0		0		1.26139999999998E-012	1.26140000000002E-012	no	2MASS
0.574915083		1.5277E-011		0		0		7.34700000000006E-013	7.34700000000015E-013	no	2MASS
286940531541.659	2.1008E-012		0		0		1.1966E-012		1.36240000000001E-012	no	HESS
397448309872.904	1.452E-012		0		0		5.57429999999998E-013	6.1603E-013		no	HESS
585503447135.673	7.63759999999999E-013	0		0		3.0789E-013		3.5067E-013		no	HESS
860594110239.61		4.1998E-013		0		0		2.0882E-013		2.43659999999999E-013	no	HESS
1263572358716.78	7.56329999999999E-014	0		0		6.3444E-014		1.3283E-013		no	HESS
1853294607181.07	1.4219E-013		0		0		8.67889999999998E-014	1.1808E-013		no	HESS
2712565171905.82	9.04150000000001E-014	0		0		5.98540000000001E-014	9.15119999999999E-014	no	HESS
