!E(eV)			F(ergcm-2s-1)		delta E(-)	delta E(+)	delta F(-)		delta F(+)		UL	Observatory
3000.0163167408		4.45630595100018E-012	0		0		1.97E-013		1.9714059744322E-013	no	TWOXMMIDR3
3000.0163167408		4.67027011890257E-012	0		0		9.52E-014		9.51933502389115E-014	no	TWOXMMIDR3
7349.0739384406		4.17417833833288E-012	0		0		3.74E-013		3.73806446918784E-013	no	TWOXMMIDR3
7349.0739384406		4.22030657027253E-012	0		0		1.79E-013		1.79332638867731E-013	no	TWOXMMIDR3
200166141.140975	4.44047061045095E-012	0		0		0.00E+000		0			no	Fermi2FGL(200Mev)_upper_limit
2001661411.40975	2.25949299892008E-012	0		0		4.51E-013		4.50958611990741E-013	no	Fermi2FGL(2Gev)
600499453.921979	2.51778707631018E-012	0		0		5.27E-013		5.27015187420738E-013	no	Fermi2FGL(600Mev)
60049945392.1979	2.43524129727751E-012	0		0		9.63E-013		9.63468028556673E-013	no	Fermi2FGL(60Gev)
6004994539.21979	2.27011051335415E-012	0		0		6.30E-013		6.30180784969178E-013	no	Fermi2FGL(6Gev)
287040000000		2.1008045029306E-012	0		0		1.19663319366962E-012	1.36237604677476E-012	no	HESS
397584000000		1.45201676559589E-012	0		0		5.57434718247483E-013	6.16025987300882E-013	no	HESS
585686000000		7.63757120090462E-013	0		0		3.07889931745652E-013	3.50671004719465E-013	no	HESS
860903000000		4.19976570454038E-013	0		0		2.08825495724461E-013	2.4365705946029E-013	no	HESS
1264020000000		7.56326881255467E-014	0		0		6.3443813184788E-014	1.32827155615548E-013	no	HESS
1853920000000		1.4218878766399E-013	0		0		8.67893023958742E-014	1.18084698050229E-013	no	HESS
2713500000000		9.04146275690495E-014	0		0		5.98538568062938E-014	9.15121021155465E-014	no	HESS
