3.49444e+11	4.05586e-16
9.36799e+11	1.49460e-15
2.11560e+12	4.52101e-15
3.85584e+12	9.74939e-15
6.58983e+12	2.04396e-14
1.58706e+13	6.22650e-14
3.82218e+13	1.92371e-13
7.58992e+13	4.48293e-13
1.32526e+14	8.94587e-13
2.36416e+14	1.69923e-12
3.62979e+14	2.63079e-12
5.57295e+14	3.87693e-12
8.93120e+14	5.55446e-12
1.66305e+15	7.73657e-12
3.37398e+15	9.49166e-12
6.84508e+15	1.05504e-11
1.35927e+16	1.10842e-11
2.64193e+16	1.07002e-11
4.91946e+16	9.49166e-12
1.43690e+17	7.41613e-12
3.35758e+18	3.31991e-12
7.11022e+18	2.68702e-12
1.94743e+19	1.88877e-12
3.25767e+19	1.42464e-12
4.89555e+19	1.02282e-12
8.54803e+19	5.53882e-13
1.31241e+20	2.39363e-13
1.69743e+20	1.28711e-13
2.05866e+20	6.09619e-14
2.44380e+20	3.16451e-14
2.96386e+20	1.45715e-14
3.75206e+20	5.58588e-15
3.91643e+20	4.27308e-15
5.76068e+20	2.64567e-15
9.84530e+20	4.65032e-15
1.08635e+22	7.91310e-14
3.38386e+22	2.56848e-13
9.26811e+22	5.90165e-13
3.07866e+23	1.23728e-12
6.11348e+23	1.66366e-12
9.79745e+23	1.87550e-12
1.71072e+24	2.04108e-12
2.68344e+24	1.99836e-12
4.30048e+24	1.79782e-12
6.74576e+24	1.51796e-12
1.36857e+25	9.73565e-13
2.60359e+25	5.77814e-13
4.44968e+25	3.35757e-13
7.60472e+25	1.87022e-13
1.41605e+26	8.25501e-14
1.79263e+26	5.72139e-14
2.26936e+26	4.02169e-14
3.19791e+26	2.30421e-14
4.80574e+26	1.23032e-14
5.82844e+26	7.67140e-15
7.37844e+26	4.48925e-15
8.39123e+26	2.23383e-15
9.34064e+26	1.06551e-15
1.08530e+27	5.19096e-16
