# RA = 06 27 6,70(96,77792)
# Dec = -35 29 15,22(-35,48756)
# Redshift = 0,0
# NH = 6,36E20 
# DIXON (id = 1)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
13,134496     0,000000    -11,644167   0,031212    55278,60562083    55283,17068528
# GALEXAISFUV (id = 20)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
15,286456     0,000000    -11,244925   0,034402 0,0   0,0
# TWOXMMIDR3  (id = 21)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
16,883434     0,000000    -11,087179   0,022289    53493,700104    53493,745787
16,883434     0,000000    -11,037154   0,006692    53609,991354    53610,125278
17,232996     0,000000    -11,276565   0,015765    53493,700104    53493,745787
17,232996     0,000000    -11,195492   0,004578    53609,991354    53610,125278
17,534026     0,000000    -11,344563   0,013992    53493,700104    53493,745787
17,534026     0,000000    -11,314247   0,004324    53609,991354    53610,125278
16,883434     0,000000    -11,097933   0,011706    53493,700104    53493,745787
16,883434     0,000000    -11,030757   0,005123    53609,991354    53610,125278
17,232996     0,000000    -11,224246   0,009334    53493,700104    53493,745787
17,232996     0,000000    -11,161792   0,004109    53609,991354    53610,125278
17,534026     0,000000    -11,285639   0,011063    53493,700104    53493,745787
17,534026     0,000000    -11,223016   0,004832    53609,991354    53610,125278
17,860578     0,000000    -11,497533   0,024697    53493,700104    53493,745787
17,860578     0,000000    -11,470760   0,007654    53609,991354    53610,125278
18,249687     0,000000    -11,517566   0,058687    53493,700104    53493,745787
18,249687     0,000000    -11,434528   0,017098    53609,991354    53610,125278
17,860578     0,000000    -11,351025   0,019211    53493,700104    53493,745787
17,860578     0,000000    -11,330658   0,008852    53609,991354    53610,125278
18,249687     0,000000    -11,379429   0,038879    53493,700104    53493,745787
18,249687     0,000000    -11,374656   0,018453    53609,991354    53610,125278
# Fermi2FGL (200 Mev) (id = 22)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
22,684845 0,0 -11,352571   0,000000    54682,5    55412,5 ; UPPER LIMIT
# Fermi2FGL (2Gev) (id = 23)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
23,684845     0,000000    -11,645989   0,086535    54682,5    55412,5
# Fermi2FGL (600 Mev) (id = 24)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
23,161967     0,000000    -11,598981   0,090740    54682,5    55412,5
# Fermi2FGL (60Gev) (id = 25)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
25,161967     0,000000    -11,613458   0,170721    54682,5    55412,5
# Fermi2FGL (6Gev) (id = 26)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
24,161967     0,000000    -11,643953   0,120176    54682,5    55412,5
