1392300020.60225	3.5868E-013	2.7899E-014
1396299997.00826	3.5925E-013	2.7936E-014
1400300014.77095	3.5982E-013	2.7973E-014
1404299991.17696	3.6040E-013	2.8010E-014
1408300008.93965	3.6097E-013	2.8047E-014
1412299985.34565	3.6155E-013	2.8085E-014
1416400003.55241	3.6212E-013	2.8122E-014
1420399979.95842	3.6270E-013	2.8159E-014
1424499998.16517	3.6328E-013	2.8196E-014
1428600016.37192	3.6386E-013	2.8234E-014
1432599992.77793	3.6444E-013	2.8271E-014
1436700010.98469	3.6502E-013	2.8309E-014
1440799987.83477	3.6561E-013	2.8347E-014
1445000006.48559	3.6619E-013	2.8384E-014
1449099983.33566	3.6677E-013	2.8422E-014
1453200001.54242	3.6736E-013	2.8460E-014
1457400020.19324	3.6795E-013	2.8498E-014
1461499997.04331	3.6853E-013	2.8536E-014
1465700015.69414	3.6912E-013	2.8574E-014
1469899992.98828	3.6971E-013	2.8612E-014
1474100011.6391	3.7030E-013	2.8650E-014
1478299988.93324	3.7089E-013	2.8688E-014
1482500007.58406	3.7148E-013	2.8727E-014
1486799985.32228	3.7208E-013	2.8765E-014
1491000003.9731	3.7267E-013	2.8803E-014
1495299981.71131	3.7327E-013	2.8842E-014
1499600000.8062	3.7386E-013	2.8881E-014
1503800019.45702	3.7446E-013	2.8919E-014
1508099997.19523	3.7506E-013	2.8958E-014
1512500016.73418	3.7565E-013	2.8997E-014
1516799994.47239	3.7625E-013	2.9036E-014
1521100013.56728	3.7685E-013	2.9075E-014
1525499991.74956	3.7746E-013	2.9114E-014
1529800010.84445	3.7806E-013	2.9153E-014
1534199989.02673	3.7866E-013	2.9192E-014
1538600008.56568	3.7927E-013	2.9231E-014
1542999986.74796	3.7987E-013	2.9270E-014
1547400006.28691	3.8048E-013	2.9310E-014
1551799984.46919	3.8109E-013	2.9349E-014
1556200004.00815	3.8169E-013	2.9389E-014
1560699982.63449	3.8230E-013	2.9428E-014
1565100002.17345	3.8291E-013	2.9468E-014
1569599980.79979	3.8352E-013	2.9508E-014
1574100000.78282	3.8414E-013	2.9547E-014
1578599979.40916	3.8475E-013	2.9587E-014
