!E(eV)		F(ergcm-2s-1)	Emin            Emax      	delta F(-)	delta F(+)	Observatory
1.4981E+00	7.6935E-12	1.4958E+00	1.5004E+00	3.8825E-13	3.8825E-13	X-Shooter
1.5026E+00	6.9236E-12	1.5004E+00	1.5049E+00	3.5488E-13	3.5488E-13	X-Shooter
1.5072E+00	7.0284E-12	1.5049E+00	1.5095E+00	3.5894E-13	3.5894E-13	X-Shooter
1.5118E+00	7.1231E-12	1.5095E+00	1.5141E+00	3.5967E-13	3.5967E-13	X-Shooter
1.5164E+00	6.7278E-12	1.5141E+00	1.5187E+00	3.3914E-13	3.3914E-13	X-Shooter
1.5211E+00	7.3442E-12	1.5187E+00	1.5234E+00	3.7236E-13	3.7236E-13	X-Shooter
1.5258E+00	9.8168E-12	1.5234E+00	1.5281E+00	4.9442E-13	4.9442E-13	X-Shooter
1.5305E+00	1.0131E-11	1.5281E+00	1.5328E+00	5.1182E-13	5.1182E-13	X-Shooter
1.5352E+00	9.0774E-12	1.5328E+00	1.5376E+00	4.6290E-13	4.6290E-13	X-Shooter
1.5400E+00	7.3837E-12	1.5376E+00	1.5424E+00	3.7200E-13	3.7200E-13	X-Shooter
1.5448E+00	6.7576E-12	1.5424E+00	1.5472E+00	3.4719E-13	3.4719E-13	X-Shooter
1.5496E+00	7.3766E-12	1.5472E+00	1.5520E+00	3.7596E-13	3.7596E-13	X-Shooter
1.5545E+00	6.6187E-12	1.5520E+00	1.5569E+00	3.4180E-13	3.4180E-13	X-Shooter
1.5593E+00	6.5821E-12	1.5569E+00	1.5618E+00	3.4078E-13	3.4078E-13	X-Shooter
1.5643E+00	6.6757E-12	1.5618E+00	1.5667E+00	3.4616E-13	3.4616E-13	X-Shooter
1.5692E+00	6.4737E-12	1.5667E+00	1.5717E+00	3.4259E-13	3.4259E-13	X-Shooter
1.5742E+00	6.7104E-12	1.5717E+00	1.5767E+00	3.7264E-13	3.7264E-13	X-Shooter
1.5792E+00	7.1620E-12	1.5767E+00	1.5817E+00	3.8106E-13	3.8106E-13	X-Shooter
1.5843E+00	7.2882E-12	1.5817E+00	1.5868E+00	3.8915E-13	3.8915E-13	X-Shooter
1.5893E+00	6.6551E-12	1.5868E+00	1.5919E+00	3.4808E-13	3.4808E-13	X-Shooter
1.5944E+00	6.7375E-12	1.5919E+00	1.5970E+00	3.4397E-13	3.4397E-13	X-Shooter
1.5996E+00	6.8166E-12	1.5970E+00	1.6022E+00	3.5608E-13	3.5608E-13	X-Shooter
1.6048E+00	6.2608E-12	1.6022E+00	1.6074E+00	3.3334E-13	3.3334E-13	X-Shooter
1.6100E+00	5.8569E-12	1.6074E+00	1.6126E+00	3.0277E-13	3.0277E-13	X-Shooter
1.6152E+00	6.0660E-12	1.6126E+00	1.6178E+00	3.2097E-13	3.2097E-13	X-Shooter
1.6205E+00	5.9026E-12	1.6178E+00	1.6231E+00	3.2743E-13	3.2743E-13	X-Shooter
1.6258E+00	6.0455E-12	1.6231E+00	1.6285E+00	3.7776E-13	3.7776E-13	X-Shooter
1.6312E+00	6.5952E-12	1.6285E+00	1.6338E+00	4.5229E-13	4.5229E-13	X-Shooter
1.6365E+00	6.8047E-12	1.6338E+00	1.6392E+00	3.5652E-13	3.5652E-13	X-Shooter
1.6420E+00	7.3062E-12	1.6392E+00	1.6447E+00	3.8541E-13	3.8541E-13	X-Shooter
1.6474E+00	6.5329E-12	1.6447E+00	1.6502E+00	3.6300E-13	3.6300E-13	X-Shooter
1.6529E+00	7.0678E-12	1.6502E+00	1.6557E+00	3.6283E-13	3.6283E-13	X-Shooter
1.6584E+00	7.0595E-12	1.6557E+00	1.6612E+00	3.8909E-13	3.8909E-13	X-Shooter
1.6640E+00	6.8332E-12	1.6612E+00	1.6668E+00	3.6901E-13	3.6901E-13	X-Shooter
1.6696E+00	6.9136E-12	1.6668E+00	1.6724E+00	3.5466E-13	3.5466E-13	X-Shooter
1.6752E+00	6.9759E-12	1.6724E+00	1.6781E+00	3.7889E-13	3.7889E-13	X-Shooter
1.6809E+00	6.7415E-12	1.6781E+00	1.6838E+00	3.5092E-13	3.5092E-13	X-Shooter
1.6866E+00	6.5051E-12	1.6838E+00	1.6895E+00	3.6319E-13	3.6319E-13	X-Shooter
1.6924E+00	7.2171E-12	1.6895E+00	1.6953E+00	3.8511E-13	3.8511E-13	X-Shooter
1.6982E+00	7.2072E-12	1.6953E+00	1.7011E+00	3.7957E-13	3.7957E-13	X-Shooter
1.7040E+00	6.7399E-12	1.7011E+00	1.7070E+00	3.7560E-13	3.7560E-13	X-Shooter
1.7099E+00	6.6255E-12	1.7070E+00	1.7129E+00	3.7045E-13	3.7045E-13	X-Shooter
1.7158E+00	6.6655E-12	1.7129E+00	1.7188E+00	3.6166E-13	3.6166E-13	X-Shooter
1.7218E+00	7.5441E-12	1.7188E+00	1.7248E+00	4.1225E-13	4.1225E-13	X-Shooter
1.7278E+00	7.0577E-12	1.7248E+00	1.7308E+00	4.1732E-13	4.1732E-13	X-Shooter
1.7338E+00	7.5134E-12	1.7308E+00	1.7369E+00	4.3476E-13	4.3476E-13	X-Shooter
1.7399E+00	6.8786E-12	1.7369E+00	1.7430E+00	3.6699E-13	3.6699E-13	X-Shooter
1.7460E+00	7.0284E-12	1.7430E+00	1.7491E+00	4.1261E-13	4.1261E-13	X-Shooter
1.7522E+00	7.2492E-12	1.7491E+00	1.7553E+00	4.1178E-13	4.1178E-13	X-Shooter
1.7584E+00	6.8384E-12	1.7553E+00	1.7615E+00	3.8506E-13	3.8506E-13	X-Shooter
1.7647E+00	7.0170E-12	1.7615E+00	1.7678E+00	4.1758E-13	4.1758E-13	X-Shooter
1.7710E+00	6.4905E-12	1.7678E+00	1.7741E+00	4.3087E-13	4.3087E-13	X-Shooter
1.7773E+00	7.5027E-12	1.7741E+00	1.7805E+00	4.6310E-13	4.6310E-13	X-Shooter
1.7837E+00	8.6478E-12	1.7805E+00	1.7869E+00	5.3319E-13	5.3319E-13	X-Shooter
1.7902E+00	6.9578E-12	1.7869E+00	1.7934E+00	4.8826E-13	4.8826E-13	X-Shooter
1.7966E+00	7.4568E-12	1.7934E+00	1.7999E+00	4.5618E-13	4.5618E-13	X-Shooter
1.8032E+00	6.5530E-12	1.7999E+00	1.8065E+00	4.4510E-13	4.4510E-13	X-Shooter
1.8098E+00	6.9363E-12	1.8065E+00	1.8131E+00	4.8582E-13	4.8582E-13	X-Shooter
1.8164E+00	7.5788E-12	1.8131E+00	1.8197E+00	4.1555E-13	4.1555E-13	X-Shooter
1.8231E+00	7.3271E-12	1.8197E+00	1.8264E+00	4.2939E-13	4.2939E-13	X-Shooter
1.8298E+00	6.7869E-12	1.8264E+00	1.8332E+00	4.1498E-13	4.1498E-13	X-Shooter
1.8366E+00	6.3896E-12	1.8332E+00	1.8400E+00	3.9711E-13	3.9711E-13	X-Shooter
1.8434E+00	6.6369E-12	1.8400E+00	1.8468E+00	4.8469E-13	4.8469E-13	X-Shooter
1.8503E+00	6.6626E-12	1.8468E+00	1.8537E+00	5.5908E-13	5.5908E-13	X-Shooter
1.8572E+00	6.9297E-12	1.8537E+00	1.8607E+00	6.0909E-13	6.0909E-13	X-Shooter
1.8642E+00	8.1189E-12	1.8607E+00	1.8677E+00	5.5161E-13	5.5161E-13	X-Shooter
1.8712E+00	8.2793E-12	1.8677E+00	1.8748E+00	5.0335E-13	5.0335E-13	X-Shooter
1.8783E+00	7.6635E-12	1.8748E+00	1.8819E+00	6.1166E-13	6.1166E-13	X-Shooter
1.8855E+00	8.8354E-12	1.8819E+00	1.8890E+00	5.1575E-13	5.1575E-13	X-Shooter
1.8927E+00	6.7095E-12	1.8890E+00	1.8963E+00	4.8032E-13	4.8032E-13	X-Shooter
1.8999E+00	6.3808E-12	1.8963E+00	1.9036E+00	5.0575E-13	5.0575E-13	X-Shooter
1.9072E+00	7.5991E-12	1.9036E+00	1.9109E+00	5.0934E-13	5.0934E-13	X-Shooter
1.9146E+00	6.9031E-12	1.9109E+00	1.9183E+00	5.4935E-13	5.4935E-13	X-Shooter
1.9220E+00	6.9751E-12	1.9183E+00	1.9257E+00	7.2844E-13	7.2844E-13	X-Shooter
1.9295E+00	5.1366E-12	1.9257E+00	1.9332E+00	8.6805E-13	8.6805E-13	X-Shooter
1.9370E+00	7.1545E-12	1.9332E+00	1.9408E+00	6.0835E-13	6.0835E-13	X-Shooter
1.9446E+00	5.6328E-12	1.9408E+00	1.9484E+00	6.1638E-13	6.1638E-13	X-Shooter
1.9523E+00	7.0545E-12	1.9484E+00	1.9561E+00	9.4506E-13	9.4506E-13	X-Shooter
1.9600E+00	7.6498E-12	1.9561E+00	1.9639E+00	6.1130E-13	6.1130E-13	X-Shooter
1.9678E+00	7.0826E-12	1.9639E+00	1.9717E+00	6.0166E-13	6.0166E-13	X-Shooter
1.9756E+00	6.3320E-12	1.9717E+00	1.9795E+00	9.5318E-13	9.5318E-13	X-Shooter
1.9835E+00	8.8788E-12	1.9795E+00	1.9875E+00	8.3551E-13	8.3551E-13	X-Shooter
1.9915E+00	4.9871E-12	1.9875E+00	1.9955E+00	6.8348E-13	6.8348E-13	X-Shooter
1.9995E+00	7.8889E-12	1.9955E+00	2.0035E+00	9.8680E-13	9.8680E-13	X-Shooter
2.0076E+00	6.7303E-12	2.0035E+00	2.0117E+00	1.4824E-12	1.4824E-12	X-Shooter
2.0158E+00	6.1805E-12	2.0117E+00	2.0199E+00	1.2219E-12	1.2219E-12	X-Shooter
2.0240E+00	9.1023E-12	2.0199E+00	2.0281E+00	1.0866E-12	1.0866E-12	X-Shooter
2.0323E+00	7.9824E-12	2.0281E+00	2.0365E+00	9.6400E-13	9.6400E-13	X-Shooter
2.0407E+00	7.6388E-12	2.0365E+00	2.0449E+00	9.5591E-13	9.5591E-13	X-Shooter
2.0491E+00	8.4631E-12	2.0449E+00	2.0533E+00	9.4848E-13	9.4848E-13	X-Shooter
2.0576E+00	4.4943E-12	2.0533E+00	2.0619E+00	1.3434E-12	1.3434E-12	X-Shooter
1.9796E+00	1.3581E-12	1.7763E+00	2.2061E+00	1.1159E-13	1.1159E-13	GMOS
2.0838E+00	1.4987E-13	1.8848E+00	2.3037E+00	2.1125E-14	2.1125E-14	NTT
3.6014E+00	1.0946E-06	3.2141E+00	4.0353E+00	7.4431E-32	7.4431E-32	uvot
5.5545E+00	4.3435E-03	4.9693E+00	6.2085E+00	1.0634E-03	1.0634E-03	uvot
1.2609E+03	4.4202E-13	1.1476E+03	1.3855E+03	2.9187E-14	2.9187E-14	X-ray
1.4592E+03	4.1964E-13	1.3855E+03	1.5369E+03	2.7627E-14	2.7627E-14	X-ray
1.6042E+03	3.8897E-13	1.5369E+03	1.6745E+03	2.5142E-14	2.5142E-14	X-ray
1.7446E+03	3.4407E-13	1.6745E+03	1.8177E+03	2.2112E-14	2.2112E-14	X-ray
1.9002E+03	3.5437E-13	1.8177E+03	1.9864E+03	2.3065E-14	2.3065E-14	X-ray
2.0693E+03	3.6131E-13	1.9864E+03	2.1557E+03	2.3487E-14	2.3487E-14	X-ray
2.2723E+03	3.4847E-13	2.1557E+03	2.3952E+03	2.2526E-14	2.2526E-14	X-ray
2.5146E+03	3.8715E-13	2.3952E+03	2.6401E+03	2.5003E-14	2.5003E-14	X-ray
2.7813E+03	3.6147E-13	2.6401E+03	2.9300E+03	2.3329E-14	2.3329E-14	X-ray
3.0787E+03	3.7958E-13	2.9300E+03	3.2350E+03	2.4667E-14	2.4667E-14	X-ray
3.4103E+03	3.6777E-13	3.2350E+03	3.5950E+03	2.3864E-14	2.3864E-14	X-ray
3.8110E+03	3.5749E-13	3.5950E+03	4.0400E+03	2.3365E-14	2.3365E-14	X-ray
4.3015E+03	3.5446E-13	4.0400E+03	4.5800E+03	2.3330E-14	2.3330E-14	X-ray
4.9524E+03	3.4704E-13	4.5800E+03	5.3550E+03	2.2896E-14	2.2896E-14	X-ray
1.7320500E+008	2.6086E-11	1.00000E+008	3.00000E+008	2.1943E-12	2.1943E-12	Fermi_3FGL
5.4772255E+008	1.8418E-11	3.00000E+008	1.00000E+009	1.2153E-12	1.2153E-12	Fermi_3FGL
1.7320508E+009	1.3819E-11	1.00000E+009	3.00000E+009	9.3793E-13	9.3793E-13	Fermi_3FGL
5.4772255E+009	1.2561E-11	3.00000E+009	1.00000E+010	9.7835E-13	9.7835E-13	Fermi_3FGL
3.16227E+010	1.1718E-11	1.00000E+010	1.00000E+011	1.2699E-12	1.2699E-12	Fermi_3FGL
46248220960.4   7.858172795e-12 34973600000.0   61157500000.0   0               0               HESS_Comb_deabs
80873288776.3   4.620687183e-12 61157500000.0   1.06945e+11     0               0               HESS_Comb_deabs
141421350368.0  2.925990441e-12 1.06945e+11     1.87012e+11     0               0               HESS_Comb_deabs
247300247246.0  2.273687351e-12 1.87012e+11     3.27024e+11     0               0               HESS_Comb_deabs
432448776897.0  2.352206166e-12 3.27024e+11     5.7186e+11      0               0               HESS_Comb_deabs
756214255354.0  6.800002999e-12 5.7186e+11      1e+12           0               0               HESS_Comb_deabs
