!E(eV)		F(ergcm-2s-1)	Emin            Emax      	delta F(-)	delta F(+)	Observatory
9.7227E-01	6.8273E-12	9.7132E-01	9.7323E-01	3.4359E-13	3.4359E-13	X-Shooter
9.7418E-01	7.0143E-12	9.7323E-01	9.7514E-01	3.5199E-13	3.5199E-13	X-Shooter
9.7610E-01	6.8805E-12	9.7514E-01	9.7706E-01	3.5260E-13	3.5260E-13	X-Shooter
9.7803E-01	7.0185E-12	9.7706E-01	9.7899E-01	3.5672E-13	3.5672E-13	X-Shooter
9.7996E-01	6.8342E-12	9.7899E-01	9.8093E-01	3.4288E-13	3.4288E-13	X-Shooter
9.8190E-01	6.7414E-12	9.8093E-01	9.8287E-01	3.4043E-13	3.4043E-13	X-Shooter
9.8385E-01	6.7526E-12	9.8287E-01	9.8482E-01	3.3894E-13	3.3894E-13	X-Shooter
9.8580E-01	6.9398E-12	9.8482E-01	9.8678E-01	3.4834E-13	3.4834E-13	X-Shooter
9.8776E-01	6.8703E-12	9.8678E-01	9.8875E-01	3.4494E-13	3.4494E-13	X-Shooter
9.8974E-01	6.7763E-12	9.8875E-01	9.9072E-01	3.4036E-13	3.4036E-13	X-Shooter
9.9172E-01	6.7934E-12	9.9072E-01	9.9272E-01	3.4270E-13	3.4270E-13	X-Shooter
9.9371E-01	6.7477E-12	9.9272E-01	9.9471E-01	3.3808E-13	3.3808E-13	X-Shooter
9.9571E-01	6.8946E-12	9.9471E-01	9.9671E-01	3.4588E-13	3.4588E-13	X-Shooter
9.9771E-01	6.9340E-12	9.9671E-01	9.9871E-01	3.4870E-13	3.4870E-13	X-Shooter
9.9972E-01	6.7349E-12	9.9871E-01	1.0007E+00	3.3814E-13	3.3814E-13	X-Shooter
1.0017E+00	6.8545E-12	1.0007E+00	1.0028E+00	3.4390E-13	3.4390E-13	X-Shooter
1.0038E+00	6.7714E-12	1.0028E+00	1.0048E+00	3.4091E-13	3.4091E-13	X-Shooter
1.0058E+00	6.7604E-12	1.0048E+00	1.0068E+00	3.4247E-13	3.4247E-13	X-Shooter
1.0078E+00	7.0539E-12	1.0068E+00	1.0089E+00	3.5352E-13	3.5352E-13	X-Shooter
1.0099E+00	6.8282E-12	1.0089E+00	1.0109E+00	3.4556E-13	3.4556E-13	X-Shooter
1.0120E+00	6.8410E-12	1.0109E+00	1.0130E+00	3.4500E-13	3.4500E-13	X-Shooter
1.0140E+00	7.0070E-12	1.0130E+00	1.0151E+00	3.6678E-13	3.6678E-13	X-Shooter
1.0161E+00	6.9924E-12	1.0151E+00	1.0171E+00	3.5049E-13	3.5049E-13	X-Shooter
1.0182E+00	6.8310E-12	1.0171E+00	1.0192E+00	3.4316E-13	3.4316E-13	X-Shooter
1.0203E+00	6.8822E-12	1.0192E+00	1.0213E+00	3.4575E-13	3.4575E-13	X-Shooter
1.0224E+00	6.8832E-12	1.0213E+00	1.0234E+00	3.4740E-13	3.4740E-13	X-Shooter
1.0245E+00	6.7786E-12	1.0234E+00	1.0256E+00	3.4210E-13	3.4210E-13	X-Shooter
1.0266E+00	6.8061E-12	1.0256E+00	1.0277E+00	3.4150E-13	3.4150E-13	X-Shooter
1.0288E+00	6.8800E-12	1.0277E+00	1.0298E+00	3.4560E-13	3.4560E-13	X-Shooter
1.0309E+00	6.9000E-12	1.0298E+00	1.0320E+00	3.5143E-13	3.5143E-13	X-Shooter
1.0330E+00	6.9285E-12	1.0320E+00	1.0341E+00	3.5689E-13	3.5689E-13	X-Shooter
1.0352E+00	7.0066E-12	1.0341E+00	1.0363E+00	3.5619E-13	3.5619E-13	X-Shooter
1.0374E+00	6.7677E-12	1.0363E+00	1.0385E+00	3.4035E-13	3.4035E-13	X-Shooter
1.0395E+00	6.7951E-12	1.0385E+00	1.0406E+00	3.4183E-13	3.4183E-13	X-Shooter
1.0417E+00	6.9241E-12	1.0406E+00	1.0428E+00	3.4801E-13	3.4801E-13	X-Shooter
1.0439E+00	6.7614E-12	1.0428E+00	1.0450E+00	3.3966E-13	3.3966E-13	X-Shooter
1.0461E+00	6.8180E-12	1.0450E+00	1.0472E+00	3.4265E-13	3.4265E-13	X-Shooter
1.0483E+00	6.8208E-12	1.0472E+00	1.0494E+00	3.4380E-13	3.4380E-13	X-Shooter
1.0506E+00	6.8531E-12	1.0494E+00	1.0517E+00	3.4509E-13	3.4509E-13	X-Shooter
1.0528E+00	7.1551E-12	1.0517E+00	1.0539E+00	3.6144E-13	3.6144E-13	X-Shooter
1.0550E+00	7.4688E-12	1.0539E+00	1.0561E+00	3.7507E-13	3.7507E-13	X-Shooter
1.0573E+00	7.4731E-12	1.0561E+00	1.0584E+00	3.7506E-13	3.7506E-13	X-Shooter
1.0595E+00	7.2506E-12	1.0584E+00	1.0607E+00	3.6371E-13	3.6371E-13	X-Shooter
1.0618E+00	6.9911E-12	1.0607E+00	1.0629E+00	3.5566E-13	3.5566E-13	X-Shooter
1.0641E+00	6.7519E-12	1.0629E+00	1.0652E+00	3.4393E-13	3.4393E-13	X-Shooter
1.0664E+00	6.6863E-12	1.0652E+00	1.0675E+00	3.3785E-13	3.3785E-13	X-Shooter
1.0687E+00	7.0403E-12	1.0675E+00	1.0698E+00	3.8592E-13	3.8592E-13	X-Shooter
1.0710E+00	7.0046E-12	1.0698E+00	1.0721E+00	3.6687E-13	3.6687E-13	X-Shooter
1.0733E+00	6.9821E-12	1.0721E+00	1.0745E+00	3.6084E-13	3.6084E-13	X-Shooter
1.0756E+00	7.0466E-12	1.0745E+00	1.0768E+00	3.5564E-13	3.5564E-13	X-Shooter
1.0780E+00	6.8361E-12	1.0768E+00	1.0791E+00	3.4967E-13	3.4967E-13	X-Shooter
1.0803E+00	6.9206E-12	1.0791E+00	1.0815E+00	3.5474E-13	3.5474E-13	X-Shooter
1.0827E+00	7.2563E-12	1.0815E+00	1.0839E+00	3.8882E-13	3.8882E-13	X-Shooter
1.0850E+00	7.0472E-12	1.0839E+00	1.0862E+00	3.5621E-13	3.5621E-13	X-Shooter
1.0874E+00	6.9931E-12	1.0862E+00	1.0886E+00	3.5208E-13	3.5208E-13	X-Shooter
1.0898E+00	6.8521E-12	1.0886E+00	1.0910E+00	3.4521E-13	3.4521E-13	X-Shooter
1.0922E+00	6.5861E-12	1.0910E+00	1.0934E+00	3.6523E-13	3.6523E-13	X-Shooter
1.0946E+00	7.2706E-12	1.0934E+00	1.0958E+00	3.7107E-13	3.7107E-13	X-Shooter
1.0970E+00	6.8118E-12	1.0958E+00	1.0983E+00	3.4915E-13	3.4915E-13	X-Shooter
1.0995E+00	6.9904E-12	1.0983E+00	1.1007E+00	3.6255E-13	3.6255E-13	X-Shooter
1.1019E+00	7.3028E-12	1.1007E+00	1.1031E+00	3.6943E-13	3.6943E-13	X-Shooter
1.1044E+00	7.1826E-12	1.1031E+00	1.1056E+00	4.1062E-13	4.1062E-13	X-Shooter
1.1068E+00	7.2671E-12	1.1056E+00	1.1081E+00	3.7235E-13	3.7235E-13	X-Shooter
1.1093E+00	7.3869E-12	1.1081E+00	1.1106E+00	3.7563E-13	3.7563E-13	X-Shooter
1.1118E+00	7.6166E-12	1.1106E+00	1.1130E+00	3.9125E-13	3.9125E-13	X-Shooter
1.1143E+00	7.4248E-12	1.1130E+00	1.1155E+00	3.7494E-13	3.7494E-13	X-Shooter
1.1168E+00	7.2859E-12	1.1155E+00	1.1181E+00	3.6712E-13	3.6712E-13	X-Shooter
1.1193E+00	7.3034E-12	1.1181E+00	1.1206E+00	3.7214E-13	3.7214E-13	X-Shooter
1.1219E+00	7.0463E-12	1.1206E+00	1.1231E+00	3.5471E-13	3.5471E-13	X-Shooter
1.1244E+00	7.1944E-12	1.1231E+00	1.1257E+00	3.6285E-13	3.6285E-13	X-Shooter
1.1270E+00	7.0953E-12	1.1257E+00	1.1282E+00	3.6421E-13	3.6421E-13	X-Shooter
1.1295E+00	7.0726E-12	1.1282E+00	1.1308E+00	3.5671E-13	3.5671E-13	X-Shooter
1.1321E+00	7.4663E-12	1.1308E+00	1.1334E+00	3.7961E-13	3.7961E-13	X-Shooter
1.1347E+00	7.3719E-12	1.1334E+00	1.1360E+00	3.7852E-13	3.7852E-13	X-Shooter
1.1373E+00	7.6415E-12	1.1360E+00	1.1386E+00	3.8484E-13	3.8484E-13	X-Shooter
1.1399E+00	7.2059E-12	1.1386E+00	1.1412E+00	3.6741E-13	3.6741E-13	X-Shooter
1.1425E+00	7.3315E-12	1.1412E+00	1.1439E+00	3.8020E-13	3.8020E-13	X-Shooter
1.1452E+00	7.2735E-12	1.1439E+00	1.1465E+00	3.7123E-13	3.7123E-13	X-Shooter
1.1478E+00	7.2646E-12	1.1465E+00	1.1492E+00	3.7130E-13	3.7130E-13	X-Shooter
1.1505E+00	7.2135E-12	1.1492E+00	1.1518E+00	3.7556E-13	3.7556E-13	X-Shooter
1.1532E+00	7.2496E-12	1.1518E+00	1.1545E+00	3.7461E-13	3.7461E-13	X-Shooter
1.1559E+00	7.3190E-12	1.1545E+00	1.1572E+00	3.8424E-13	3.8424E-13	X-Shooter
1.1586E+00	7.0415E-12	1.1572E+00	1.1599E+00	3.6077E-13	3.6077E-13	X-Shooter
1.1613E+00	7.1617E-12	1.1599E+00	1.1626E+00	3.6457E-13	3.6457E-13	X-Shooter
1.1640E+00	7.5715E-12	1.1626E+00	1.1654E+00	3.8581E-13	3.8581E-13	X-Shooter
1.1667E+00	7.5233E-12	1.1654E+00	1.1681E+00	3.8594E-13	3.8594E-13	X-Shooter
1.1695E+00	7.3012E-12	1.1681E+00	1.1709E+00	3.7242E-13	3.7242E-13	X-Shooter
1.1723E+00	7.2291E-12	1.1709E+00	1.1736E+00	3.7001E-13	3.7001E-13	X-Shooter
1.1750E+00	7.4042E-12	1.1736E+00	1.1764E+00	3.7437E-13	3.7437E-13	X-Shooter
1.1778E+00	7.0093E-12	1.1764E+00	1.1792E+00	3.5405E-13	3.5405E-13	X-Shooter
1.1806E+00	6.9688E-12	1.1792E+00	1.1820E+00	3.5752E-13	3.5752E-13	X-Shooter
1.1834E+00	7.0620E-12	1.1820E+00	1.1849E+00	3.5922E-13	3.5922E-13	X-Shooter
1.1863E+00	7.2178E-12	1.1849E+00	1.1877E+00	3.6528E-13	3.6528E-13	X-Shooter
1.1891E+00	7.0177E-12	1.1877E+00	1.1905E+00	3.5764E-13	3.5764E-13	X-Shooter
1.1920E+00	7.0820E-12	1.1905E+00	1.1934E+00	3.7273E-13	3.7273E-13	X-Shooter
1.1949E+00	7.1647E-12	1.1934E+00	1.1963E+00	3.7049E-13	3.7049E-13	X-Shooter
1.1977E+00	7.1289E-12	1.1963E+00	1.1992E+00	3.8901E-13	3.8901E-13	X-Shooter
1.2006E+00	7.1626E-12	1.1992E+00	1.2021E+00	3.9492E-13	3.9492E-13	X-Shooter
1.2036E+00	7.1040E-12	1.2021E+00	1.2050E+00	4.3845E-13	4.3845E-13	X-Shooter
1.2065E+00	7.1352E-12	1.2050E+00	1.2080E+00	4.2549E-13	4.2549E-13	X-Shooter
1.2094E+00	7.2203E-12	1.2080E+00	1.2109E+00	3.8895E-13	3.8895E-13	X-Shooter
1.2124E+00	7.0688E-12	1.2109E+00	1.2139E+00	4.0725E-13	4.0725E-13	X-Shooter
1.2154E+00	6.8776E-12	1.2139E+00	1.2168E+00	4.0616E-13	4.0616E-13	X-Shooter
1.2183E+00	6.8540E-12	1.2168E+00	1.2198E+00	4.8187E-13	4.8187E-13	X-Shooter
1.2213E+00	6.8335E-12	1.2198E+00	1.2228E+00	3.7689E-13	3.7689E-13	X-Shooter
1.2244E+00	7.4890E-12	1.2228E+00	1.2259E+00	4.0516E-13	4.0516E-13	X-Shooter
1.2274E+00	6.7738E-12	1.2259E+00	1.2289E+00	3.7491E-13	3.7491E-13	X-Shooter
1.2304E+00	7.3482E-12	1.2289E+00	1.2320E+00	3.7746E-13	3.7746E-13	X-Shooter
1.2335E+00	7.0611E-12	1.2320E+00	1.2350E+00	3.6815E-13	3.6815E-13	X-Shooter
1.2366E+00	7.2262E-12	1.2350E+00	1.2381E+00	3.7155E-13	3.7155E-13	X-Shooter
1.2397E+00	6.7504E-12	1.2381E+00	1.2412E+00	3.4447E-13	3.4447E-13	X-Shooter
1.2428E+00	7.5332E-12	1.2412E+00	1.2443E+00	3.8610E-13	3.8610E-13	X-Shooter
1.2459E+00	7.1887E-12	1.2443E+00	1.2475E+00	4.1890E-13	4.1890E-13	X-Shooter
1.2490E+00	6.8484E-12	1.2475E+00	1.2506E+00	3.4624E-13	3.4624E-13	X-Shooter
1.2522E+00	7.1542E-12	1.2506E+00	1.2538E+00	3.6435E-13	3.6435E-13	X-Shooter
1.2554E+00	6.5765E-12	1.2538E+00	1.2569E+00	3.3558E-13	3.3558E-13	X-Shooter
1.2585E+00	6.8835E-12	1.2569E+00	1.2601E+00	3.5135E-13	3.5135E-13	X-Shooter
1.2617E+00	6.9721E-12	1.2601E+00	1.2633E+00	3.5402E-13	3.5402E-13	X-Shooter
1.2650E+00	6.7255E-12	1.2633E+00	1.2666E+00	3.4833E-13	3.4833E-13	X-Shooter
1.2682E+00	6.4374E-12	1.2666E+00	1.2698E+00	3.2641E-13	3.2641E-13	X-Shooter
1.2714E+00	6.7946E-12	1.2698E+00	1.2731E+00	3.4585E-13	3.4585E-13	X-Shooter
